"Data file recorded 2014/2/3  17:54:20"
"%  Right Stride Frequency         = 5.0"
"%  Left Stride Frequency         = 5.0"
"%  Phase (Fractional)         = 16384.0"
"%  Experiment.py "
"%  Motor Gains    = [1800, 20, 100, 0, 0, 1800, 20, 100, 0, 0]
"% Columns: "
"% time | Right Leg Pos | Left Leg Pos | Commanded Right Leg Pos | Commanded Left Leg Pos | DCR | DCL | GyroX | GryoY | GryoZ | AX | AY | AZ | RBEMF | LBEMF | VBatt "
86019,3000872,3084344,3006774,3088694,1370,2476,-363,3275,-505,4070,2347,3017,68,39,851
87020,3001392,3084600,3007101,3089021,1310,2382,-584,3503,-623,2153,1727,3144,60,26,854
88021,3001920,3084872,3007428,3089348,1172,2307,-783,3743,-648,948,2154,4195,60,26,854
89022,3002432,3085132,3007755,3089675,1191,2412,-950,4068,-667,1275,1945,5082,66,40,854
90024,3002952,3085384,3008082,3090002,1056,2495,-1075,4415,-768,2170,1735,4290,66,40,854
91024,3003400,3085684,3008409,3090329,1453,2207,-1102,4806,-887,2608,1383,4538,71,32,856
92025,3003944,3085992,3008736,3090656,757,2165,-1048,5145,-1037,2552,457,4676,71,32,856
93026,3004532,3086308,3009063,3090983,368,2120,-984,5381,-1134,2426,1178,3053,65,42,856
94028,3005096,3086640,3009390,3091310,414,2018,-974,5559,-1184,1870,1303,3676,65,42,856
95029,3005680,3086952,3009717,3091637,177,2149,-1036,5830,-1202,1443,786,4038,81,36,860
96030,3006268,3087280,3010044,3091964,37,2049,-1112,6171,-1272,2185,1596,3101,81,36,860
97031,3006868,3087600,3010371,3092291,-158,2102,-1147,6418,-1457,2638,1483,3502,67,44,864
98032,3007432,3087932,3010698,3092618,-37,2025,-1207,6639,-1672,2044,1377,3669,67,44,864
99033,3007956,3088280,3011025,3092945,126,1916,-1352,6864,-1838,1931,2486,3192,63,49,865
100034,3008484,3088624,3011352,3093272,13,1934,-1512,6982,-1911,1044,2946,2744,63,49,865
101035,3008952,3088992,3011679,3093599,326,1766,-1607,6966,-1884,-810,2171,2895,74,52,865
102036,3009452,3089284,3012006,3093926,50,2256,-1594,6835,-1856,-1483,1311,2491,74,52,865
103037,3010004,3089624,3012333,3094253,-374,1951,-1597,6593,-1978,-1119,2218,2013,76,44,866
104038,3010632,3089964,3012660,3094580,-981,1945,-1697,6351,-2126,-1008,3103,1420,76,44,866
105039,3011092,3090288,3012987,3094907,10,2046,-1803,6231,-2169,-814,2541,3023,58,49,864
